Language,Address,Address1,Address2,Address3,Address4,Publication,Pubtype,Recording,Notes
Cypriot Greek,Cyprus,,,,,http://dx.doi.org/10.1017/S002510030000654X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Cypriot-Greek.zip,
Czech,Czech Republic,,,,,http://dx.doi.org/10.1017/S0025100300005442,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Czech.zip,
Czech spoken in Bohemia and Moravia,"Bohemia and Moravia, Czech Republic",,,,,http://dx.doi.org/10.1017/S0025100312000102,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Moravian-Czech.zip,
Danish,Denmark,,,,,http://dx.doi.org/10.1017/S0025100300006290,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Danish.zip,
Dari (Afghan Persian),Afghanistan,,,,,http://dx.doi.org/10.1017/S0025100315000390,Illustration,,
Dutch,"Netherlands, North-West Belgium",,,,,http://dx.doi.org/10.1017/S002510030000459X,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Dutch.zip,
The Dutch dialect of Weert,"Weert, province of Limburg, Belgium",,,,,http://dx.doi.org/10.1017/S0025100300006307,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Weert.zip,
Ega,"Divo, Côte d'Ivoire",,,,,http://dx.doi.org/10.1017/S002510030200018X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Ega.zip,
Ersu,"Sichuan Province, People's Republic of China",,,,,http://dx.doi.org/10.1017/S0025100314000437,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Ersu.zip,
Estonian,Estonia,,,,,http://dx.doi.org/10.1017/S002510030999017X,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Estonian.zip,
European Portuguese,Portugal,,,,,http://dx.doi.org/10.1017/S0025100300005223,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Portuguese.zip,
Fataluku,East Timor,,,,,http://dx.doi.org/10.1017/S0025100316000190,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Fataluku.zip,
The Flemish-Brabant dialect of Orsmaal-Gussenhoven,"Orsmaal-Gussenhoven, Brabant, Belgium",,,,,http://dx.doi.org/10.1017/S0025100310000083,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Orsmaal-Gussenhoven.zip,
French,France,,,,,http://dx.doi.org/10.1017/S0025100300004874,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/French.zip,
Friulian,"Friuli-Venezia Giulia region, Italy",,,,,http://dx.doi.org/10.1017/S0025100302001056,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Friulian.zip,
Galician,"Galicia, Spain",,,,,http://dx.doi.org/10.1017/S0025100300006162,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Galician.zip,
Gayo,"Aceh, Sumatra, Indonesia",,,,,http://dx.doi.org/10.1017/S0025100306002416,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Gayo.zip,
German,Germany,,,,,http://dx.doi.org/10.1017/S0025100300004084,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/German.zip,
Goemai,"Jos, Nigeria",,,,,http://dx.doi.org/10.1017/S0025100314000243,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Goemai.zip,
Goizueta Basque,"Goizueta, Navarre, Spain",,,,,http://dx.doi.org/10.1017/S0025100309990260,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Goizueta-Basque.zip,
Greek Thrace Xoraxane Romane,"Komotini,Thrace, Greece","Drosero, Xanthi, Thrace, Greece.",,,,http://dx.doi.org/10.1017/S0025100313000376,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Xoraxane-Romane.zip,
Hakka Chinese,"Meixian County, Guandong Province, China",,,,,http://dx.doi.org/10.1017/S0025100308003599,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Hakka-Chinese.zip,
Hausa,"Kano, Nigeria",,,,,http://dx.doi.org/10.1017/S0025100300004886,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Hausa.zip,
The dialect of Hasselt,"Hasselt, province of Limburg, Belgium",,,,,http://dx.doi.org/10.1017/S0025100306002428,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Hasselt.zip,
Hebrew,Israel,,,,,http://dx.doi.org/10.1017/S0025100300004278,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Hebrew.zip,
Hindi,India,,,,,http://dx.doi.org/10.1017/S0025100300004990,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Hindi.zip,
Hungarian,Hungary,,,,,http://dx.doi.org/10.1017/S0025100300005090,Handbook,https://www.internationalphoneticassociation.org/sites/default/files/handbookfiles/Hungarian.zip,
